start_set,direction,reference_no,citation_as_in_pdf,selected_for_followup,screen_note
OpenTwin,backward,31,"A. F. Ansari, L. Stella, C. Turkmen, X. Zhang, P. Mercado, H. Shen, O. Shchur, S. S. Rangapuram, S. P. Arango, S. Kapoor, J. Zschiegner, D. C. Maddix, H. Wang, M. W. Mahoney, K. Torkkola, A. G. Wilson, M. Bohlke-Schneider, and Y. Wang, “Chronos: Learning the language of time series,” Trans. Mach. Learn. Res., 2024, arXiv:2403.07815.",0,outside current decision-risk question or background only
OpenTwin,backward,32,"S. R. Howard, A. Ramdas, J. McAuliffe, and J. Sekhon, “Time- uniform, nonparametric, nonasymptotic confidence sequences,” Ann. Statist., 2021.",0,outside current decision-risk question or background only
OpenTwin,backward,33,"V. Taquet, V. Blot, T. Morzadec, L. Lacombe, and N. Brunel, “MAPIE: an open-source library for distribution-free uncertainty quantification,” arXiv preprint arXiv:2207.12274, 2022.",0,outside current decision-risk question or background only
OpenTwin,backward,34,"J. Breen, A. Buffmire, J. Duerig, K. Dutt, E. Eide, A. Ghosh, M. Hibler, D. Johnson, S. K. Kasera, E. Lewis, D. Maas, C. Martin, A. Orange, N. Patwari, D. Reading, R. Ricci, D. Schurig, L. B. Stoller, A. Todd, J. Van der Merwe, N. Viswanathan, K. Webb, and G. Wong, “POWDER: Platform for open wireless data-driven experimental research,” Comput. Netw., 2021.",0,outside current decision-risk question or background only
OpenTwin,backward,35,"Software Radio Systems, “srsRAN Project: Open-source O-RAN 5G CU/DU,” https://github.com/srsran/srsRAN Project, 2025.",0,outside current decision-risk question or background only
El Halabi-Brandt,backward,1,Online conformal prediction with decaying step sizes,1,"online conformal, delayed feedback, or multi-horizon"
El Halabi-Brandt,backward,2,Conformal pid control for time series prediction,1,"online conformal, delayed feedback, or multi-horizon"
El Halabi-Brandt,backward,3,Conformal prediction beyond exchangeability,1,"online conformal, delayed feedback, or multi-horizon"
El Halabi-Brandt,backward,4,Improved online conformal prediction via strongly adaptive online learning,0,general background or outside immediate question
El Halabi-Brandt,backward,5,Knowing what you know: valid and validated confidence sets in multiclass and multilabel prediction,0,general background or outside immediate question
El Halabi-Brandt,backward,6,Adaptive conformal inference under distribution shift,1,"online conformal, delayed feedback, or multi-horizon"
El Halabi-Brandt,backward,7,Conformal inference for online prediction with arbitrary distribution shifts,1,"online conformal, delayed feedback, or multi-horizon"
El Halabi-Brandt,backward,8,Time Series Analysis,0,general background or outside immediate question
El Halabi-Brandt,backward,9,Optimization-based online conformal prediction for multi-step forecasting,0,general background or outside immediate question
El Halabi-Brandt,backward,10,A tutorial on conformal prediction,0,general background or outside immediate question
El Halabi-Brandt,backward,11,Online conformal prediction beyond feedback,1,"online conformal, delayed feedback, or multi-horizon"
El Halabi-Brandt,backward,12,Adaptive conformal inference for multi-step ahead time-series forecasting online,1,"online conformal, delayed feedback, or multi-horizon"
El Halabi-Brandt,backward,13,Mirror online conformal prediction with intermittent feedback,1,"online conformal, delayed feedback, or multi-horizon"
El Halabi-Brandt,backward,14,Online conformal inference for multi-step time series forecasting,1,"online conformal, delayed feedback, or multi-horizon"
El Halabi-Brandt,backward,15,Bellman conformal inference: Calibrating prediction intervals for time series,1,"online conformal, delayed feedback, or multi-horizon"
El Halabi-Brandt,backward,16,Adaptive conformal predictions for time series,1,"online conformal, delayed feedback, or multi-horizon"
El Halabi-Brandt,backward,17,Hidden Markov Models for Time Series: An Introduction Using R,0,general background or outside immediate question
